2021-03-30 19:59:00,594 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-03-30 20:12:56,851 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_input.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,851 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/input.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,853 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tab_active.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,856 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/dubbo_list_th.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,942 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_confirm.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,942 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_choose.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,942 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_del.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,943 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_succeed.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:56,943 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_active.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:57,627 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services/com.yykj.springboot.service.ITicketService/providers, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:57,661 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_add.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:57,661 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_up.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:57,669 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_down.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:57,669 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_delete.png, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:12:58,771 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services/com.yykj.springboot.service.ITicketService/consumers, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:00,548 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services/com.yykj.springboot.service.ITicketService/providers, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:21,553 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [dubbo://192.168.10.1:20880/com.yykj.springboot.service.ITicketService?anyhost=true&application=springboot-13-dubbo-provider&bean.name=ServiceBean:com.yykj.springboot.service.ITicketService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.yykj.springboot.service.ITicketService&methods=getTicket&pid=9364&register=true&release=2.7.3&side=provider&timestamp=1617106400482], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:30,710 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services/com.yykj.springboot.service.ITicketService/providers, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:30,790 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:32,383 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/providers/3, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:32,647 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:13:54,037 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [consumer://192.168.10.1/com.yykj.springboot.service.ITicketService?application=springboot-13-dubbo-consumer&category=consumers&check=false&dubbo=2.0.2&interface=com.yykj.springboot.service.ITicketService&lazy=false&methods=getTicket&pid=13808&qos.enable=false&release=2.7.3&side=consumer&sticky=false&timestamp=1617106433870], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:14:08,057 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [consumer://192.168.10.1/com.yykj.springboot.service.ITicketService?application=springboot-13-dubbo-consumer&category=consumers&check=false&dubbo=2.0.2&interface=com.yykj.springboot.service.ITicketService&lazy=false&methods=getTicket&pid=13808&qos.enable=false&release=2.7.3&side=consumer&sticky=false&timestamp=1617106433870, consumer://192.168.10.1/com.yykj.springboot.service.ITicketService?application=springboot-13-dubbo-consumer&category=consumers&check=false&dubbo=2.0.2&interface=com.yykj.springboot.service.ITicketService&lazy=false&methods=getTicket&pid=12964&qos.enable=false&release=2.7.3&side=consumer&sticky=false&timestamp=1617106447128], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:14:10,429 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [consumer://192.168.10.1/com.yykj.springboot.service.ITicketService?application=springboot-13-dubbo-consumer&category=consumers&check=false&dubbo=2.0.2&interface=com.yykj.springboot.service.ITicketService&lazy=false&methods=getTicket&pid=13808&qos.enable=false&release=2.7.3&side=consumer&sticky=false&timestamp=1617106433870], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:16:02,648 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:16:08,645 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*], dubbo version: 2.6.2, current host: 192.168.10.1
